1 组织体系
1.1 学校层面安全责任体系
1.1.1 有校级实验室安全工作领导机构，由校长或分管校长挂帅，相关职能部门参与，设办公室
1.1.2 有处级管理部门管理实验室安全工作。设实验室安全管理科室（3万学生规模以上且仪器设备总值超过3亿元），或有专职的实验室安全管理人员
1.1.3 有教师（含退休回聘）或学生组成的实验室安全督查/协查队伍
1.1.4 学校与二级单位签订实验室安全管理责任书
1.1.5 建立实验室安全准入体系，特别是化学化工类实验室实行了安全准入制度
1.1.6 主管实验室安全的负责人在岗一年内通过了上一级组织的实验室安全培训，持有效证书
1.2 院系层面安全责任体系
1.2.1 成立实验室安全领导小组，由党/政一把手挂帅，研究所、中心、教研室、实验室等负责人参加。分管实验室的领导主管实验室安全
1.2.2 理（除数学）、工、农、医类院系有专职实验室安全管理人员，文、管、艺术类、数学有兼职实验室安全管理人员
1.2.3 建立二级单位的安全责任体系，所有实验房间（包括分布在主校区和其它校区）都需明确安全责任人
1.2.4 实验室安全管理责任书要层层签订到房间安全责任人，及每一位教授
1.3 经费保障
1.3.1 学校每年有实验室安全常规经费预算
1.3.2 有专项经费或自筹经费投入实验室安全建设与管理，实验室安全检查中的隐患整改经费能够落实
2 规章制度
2.1 校级层面实验室安全管理制度
2.1.1 有实验室技术安全管理办法
2.1.2 有实验室安全责任追究制度
2.1.3 有实验室安全检查制度
2.1.4 有化学品、生物、辐射、电气、机械、排污、仪器设备、安全教育等安全管理规定
2.1.5 有应急预案（包括化学品、生物、辐射、电气、机械等分类）
2.2 院系层面的安全管理制度
2.2.1 具有学科特色的实验室安全管理制度
2.2.2 有安全检查与值班值日制度
2.2.3 有仪器设备的安全操作规程（包括大型仪器，高温、高速、高压、强磁、低温等设备），并上墙
2.2.4 危险性实验有操作规程（含安全注意事项），并上墙
2.2.5 有体现学科特色的应急预案
2.3 安全检查
2.3.1 学校层面的安全检查每年不少于2次
2.3.2 建立安全检查和值日台账，且记录规范
2.3.3 对于检查发现存在问题的，有合适的方式通知被查实验室，如网上公示、整改通知书等，并规范存档
2.3.4 检查出的问题得到及时的整改，有整改记录并存档
2.3.5 事故调查、处理程序规范，资料存档
3 安全教育
3.1 教育培训计划
3.1.1 有年度安全教育培训计划
3.1.2 有安全教育和培训的记录，并规范存档
3.2 活动组织与实施
3.2.1 开展了教职工安全教育与培训，有资料存档
3.2.2 开展了研究生安全教育与培训，有资料存档
3.2.3 开展了本科生安全教育与培训，有资料存档
3.2.4 开展了结合学科特点的应急演练，有资料存档
3.3 实验室安全考试系统
